video_name,model,gpu time,frame rate,f1,temporal,spatial,bandwidth
highway_16,faster_rcnn_resnet101,0.4,0.4,0.931768158,10,NA,NA
highway_16,faster_rcnn_resnet101,0.2,0.2,0.792491568,5,NA,NA
highway_16,faster_rcnn_resnet101,0.16,0.16,0.702646447,4,NA,NA
highway_16,faster_rcnn_resnet101,0.12,0.12,0.582252659,3,NA,NA
highway_16,faster_rcnn_resnet101,0.1,0.1,0.50617284,2.5,NA,NA
highway_16,faster_rcnn_resnet101,0.08,0.08,0.422242315,2,NA,NA
highway_16,faster_rcnn_resnet101,0.072,0.072,0.385898738,1.8,NA,NA
highway_16,faster_rcnn_resnet101,0.06,0.06,0.335119479,1.5,NA,NA
highway_16,faster_rcnn_resnet101,0.048,0.048,0.280256635,1.2,NA,NA
highway_16,faster_rcnn_resnet101,0.04,0.04,0.233091787,1,NA,NA
highway_17,faster_rcnn_resnet101,0.04,0.04,0.201148482,1,NA,NA
highway_17,faster_rcnn_inception_v2,0.021886792,0.04,0.169767078,1,NA,NA
highway_17,ssd_mobilenet_v2,0.011698113,0.04,0.118506751,1,NA,NA
highway_17,faster_rcnn_resnet101,0.8,0.8,0.990263368,20,NA,NA
highway_17,faster_rcnn_resnet101,0.6,0.6,0.983778626,15,NA,NA
highway_17,faster_rcnn_resnet101,0.4,0.4,0.935891287,10,NA,NA
highway_17,faster_rcnn_resnet101,0.2,0.2,0.741940658,5,NA,NA
highway_17,faster_rcnn_resnet101,0.16,0.16,0.639897616,4,NA,NA
highway_17,faster_rcnn_resnet101,0.12,0.12,0.527022705,3,NA,NA
highway_17,faster_rcnn_resnet101,0.1,0.1,0.460722892,2.5,NA,NA
highway_17,faster_rcnn_resnet101,0.08,0.08,0.385702681,2,NA,NA
highway_17,faster_rcnn_resnet101,0.072,0.072,0.357749135,1.8,NA,NA
highway_17,faster_rcnn_resnet101,0.06,0.06,0.301027668,1.5,NA,NA
highway_17,faster_rcnn_resnet101,0.048,0.048,0.253521127,1.2,NA,NA
highway_17,faster_rcnn_resnet101,0.04,0.04,0.201148482,1,NA,NA
highway_18,faster_rcnn_resnet101,0.04,0.04,0.187225605,1,NA,NA
highway_18,faster_rcnn_inception_v2,0.021886792,0.04,0.139027087,1,NA,NA
highway_18,ssd_mobilenet_v2,0.011698113,0.04,0.134950927,1,NA,NA
highway_18,faster_rcnn_resnet101,0.8,0.8,0.98951782,20,NA,NA
highway_18,faster_rcnn_resnet101,0.6,0.6,0.982097902,15,NA,NA
highway_18,faster_rcnn_resnet101,0.4,0.4,0.929569592,10,NA,NA
